City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,1999000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1100000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2199888.0,6.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2229000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,689000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1138000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,725000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,609999.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1060000.0,7.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,598000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,588000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5999999.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1800000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,659900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1000000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1094000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1300000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,698000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1649000.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1079000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2149000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,932900.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,680000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2399000.0,3.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,569900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,678000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1899000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,729000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3349000.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1275000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,8688000.0,6.0,7.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,619000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,524999.0,3.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599999.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1595900.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1975000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1399000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1099000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,559900.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,845000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2698000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2998000.0,4.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,725000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199900.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
